LcmsUnit,UnitLongDesc,InstrLvl,Total,Latitude,Longitude
K004,P.S. K004,5,36616214.7,40.6569711,-73.888674
K036,P.S. 36,5,26162659.34,40.660440200000004,-73.887249
K053,P.S. K053,5,37331683.93,40.75426160000001,-73.98824599999999
K077,P.S. K077,5,29990095.68,40.7136956,-74.0102216
K140,P.S. K140,5,24522028.07,40.6818635,-73.9459277
K141,P.S. K141,5,34907473.83,40.65638870000001,-73.9514618
K231,P.S. K231,5,34837450.67,40.6265896,-73.9894638
K368,P.S. 368,5,24154470.81,40.6967257,-73.94730940000001
K369,P.S. K369  - Coy L. Cox School,5,52672229.91,40.687343299999995,-73.98326429999999
K370,P.S. 370,5,24125720.65,40.5862137,-73.970355
K371,P.S. 371 - Lillian L. Rashkis,5,19706179.06,40.7551158,-73.994498
K372,P.S. 372 -The Children's School,5,25596717.3,40.6761844,-73.9855063
K373,P.S. 373 - Brooklyn Transition Center,5,25737447.67,40.699216,-73.94521540000001
K396,P.S. K396,5,28650123.82,40.66796,-73.9117337
K721,P.S. K721 - Brooklyn Occupational Training Center,5,39375541.74,40.589085,-73.9812849
K753,P.S. K753 - School for Career Development,5,13677972.96,40.6825734,-73.9692679
K771,P.S. K771,5,43962131.02,40.579809999999995,-73.9560103
K811,P.S. K811 Connie Lekas School,5,33007990.04,40.5911934,-73.93871899999999
M035,P.S. 035,5,14390691.79,40.7640485,-73.985947
M079,P.S. M079 - Horan School,5,23603435.66,40.8025088,-73.9423705
M094,P.S. M094,5,33947537.41,40.706562899999994,-74.0175278
M138,P.S. 138,5,56641609.38,40.805584,-73.93548390000001
M169,P.S. M169 - Robert F. Kennedy,5,25510502.13,40.7808828,-73.95565959999999
M226,P.S. M226,5,31381271.77,40.7326759,-73.98257640000001
M401,Hospital Schools,5,15295174.69,40.831804299999995,-73.8276329
M501,Home Instruction,5,58050339.64,40.7291044,-74.0062855
M721,P.S. M721 - Manhattan Occupational Training Center,5,16343202.18,40.7291044,-74.0062855
M751,Manhattan School for Career Development,5,11445851.31,40.7257169,-73.9878598
M811,P.S. M811 - Mickey Mantle School,5,32490342.86,40.7863206,-73.97924350000001
Q004,P.S. Q004,5,40012011.57,40.7416616,-73.7783377
Q009,P.S. 009,5,56511198.24,40.718348799999994,-73.9122407
Q023,P.S. Q023 @ Queens Children Center,5,23511312.16,40.745833399999995,-73.7264836
Q075,Robert E. Peary School,5,47362054.68,40.6987123,-73.9049725
