LcmsUnit,UnitLongDesc,InstrLvl,Total
K004,P.S. K004,5,36616214.7
K036,P.S. 36,5,26162659.34
K053,P.S. K053,5,37331683.93
K077,P.S. K077,5,29990095.68
K140,P.S. K140,5,24522028.07
K141,P.S. K141,5,34907473.83
K231,P.S. K231,5,34837450.67
K368,P.S. 368,5,24154470.81
K369,P.S. K369  - Coy L. Cox School,5,52672229.91
K370,P.S. 370,5,24125720.65
K371,P.S. 371 - Lillian L. Rashkis,5,19706179.06
K372,P.S. 372 -The Children's School,5,25596717.3
K373,P.S. 373 - Brooklyn Transition Center,5,25737447.67
K396,P.S. K396,5,28650123.82
K721,P.S. K721 - Brooklyn Occupational Training Center,5,39375541.74
K753,P.S. K753 - School for Career Development,5,13677972.96
K771,P.S. K771,5,43962131.02
K811,P.S. K811 Connie Lekas School,5,33007990.04
M035,P.S. 035,5,14390691.79
M079,P.S. M079 - Horan School,5,23603435.66
M094,P.S. M094,5,33947537.41
M138,P.S. 138,5,56641609.38
M169,P.S. M169 - Robert F. Kennedy,5,25510502.13
M226,P.S. M226,5,31381271.77
M401,Hospital Schools,5,15295174.69
M501,Home Instruction,5,58050339.64
M721,P.S. M721 - Manhattan Occupational Training Center,5,16343202.18
M751,Manhattan School for Career Development,5,11445851.31
M811,P.S. M811 - Mickey Mantle School,5,32490342.86
Q004,P.S. Q004,5,40012011.57
Q009,P.S. 009,5,56511198.24
Q023,P.S. Q023 @ Queens Children Center,5,23511312.16
Q075,Robert E. Peary School,5,47362054.68
Q177,P.S. Q177,5,50954521.78
Q224,P.S. Q224,5,40015799.79
Q233,P.S. Q233,5,38607649.45
Q255,P.S. Q255,5,44536540.85
Q256,P.S. Q256,5,41696507.98
Q277,The Riverview School,5,11442897.48
Q721,John F. Kennedy Jr. School,5,41631347.3
Q752,Queens Transition Center,5,26446425.2
Q811,P.S. Q811,5,39363441.02
Q993,P.S. Q993,5,49441184.06
R025,South Richmond High School I.S./P.S. 25,5,39715737.94
R037,P.S. R037,5,45354554.08
R373,P.S. R373,5,45887149.3
R721,The Richard H. Hungerford School,5,43731286.17
X010,P.S. X010,5,50163794.92
X012,P.S. X012 Lewis and Clark School,5,21778570.08
X017,P.S. X017,5,36984581.06
X168,P.S. 168,5,42926424.67
X176,P.S. X176,5,73039746.67
X186,P186X Walter J. Damrosch School,5,52601646.89
X188,P.S. X188,5,41914801.44
X352,The Vida Bogart School for All Children,5,43070836.45
X469,P469X - The Bronx School for Continuous Learners,5,9618835.05
X721,P.S. X721 - Stephen McSweeney School,5,40792091.79
X723,P.S. 723,5,40885637.01
X754,J. M. Rapport School Career Development,5,29280046.34
X811,P.S. X811,5,55614474.14
K071,Juan Morel Campos Secondary School,4,19712728.28
K122,Pathways in Technology Early College High School (P-Tech),4,10236290.59
K168,The Brooklyn School for Math and Research,4,5118696.92
K265,Dr. Susan S. McKinney Secondary School of the Arts,4,10264423.17
K322,Foundations Academy,4,2942488.86
K337,International High School at Lafayette,4,7336106.29
K344,Rachel Carson High School for Coastal Studies,4,10030384.77
K348,High School of Sports Management,4,5978895.27
K350,Urban Assembly High School of Music and Art,4,7724562.77
K382,Academy for College Preparation and Career Exploration,4,10095141.4
K393,Frederick Douglass Academy IV Secondary School,4,3153199.67
K403,Academy for Environmental Leadership,4,8645323.46
K404,Academy for Young Writers,4,10512172.12
K405,Midwood High School,4,51759355.76
K408,Academy of Hospitality and Tourism,4,5854712.58
K409,East New York Family Academy,4,9474074.68
K410,Abraham Lincoln High School,4,38337128.7
K411,Abraham Lincoln Yabc,4,3903642
K412,"Brooklyn Community HS of Communication, Arts & Media",4,7713213.96
K419,"Science Skills Center HS for Science, Tech & Creative Arts",4,10399762.57
K423,Brooklyn Frontiers High School,4,6409314.92
K425,James Madison High School,4,48309042.56
K429,Brooklyn School for Global Studies,4,7140013.52
K430,Brooklyn Technical High School,4,82143068.97
K431,Thomas Jefferson Yabc,4,4378126.31
K439,Brooklyn International High School,4,7200653.17
K445,New Utrecht High School,4,55480855.29
K448,Brooklyn Secondary School for Collaborative  Studies,4,14956603.6
K449,"Brooklyn Latin School, The",4,10439812.34
K454,Green School: An Academy for Environmental Careers,4,6461150.76
K455,Boys and Girls High School,4,18772287.25
K462,Secondary School for Law,4,7497512.42
